Time 00h 00m 11s, num steps 3208, FPS 273, episode reward -21.0, episode length 1267
Time 00h 00m 41s, num steps 3474, FPS 83, episode reward -18.0, episode length 1553
Time 00h 01m 02s, num steps 5854, FPS 94, episode reward -21.0, episode length 1431
Time 00h 01m 23s, num steps 7008, FPS 84, episode reward -21.0, episode length 1249
Time 00h 01m 51s, num steps 7797, FPS 70, episode reward -21.0, episode length 1418
Time 00h 02m 16s, num steps 11104, FPS 81, episode reward -20.0, episode length 1615
Time 00h 02m 43s, num steps 11104, FPS 68, episode reward -21.0, episode length 1262
Time 00h 03m 02s, num steps 14461, FPS 79, episode reward -21.0, episode length 1263
Time 00h 03m 22s, num steps 14834, FPS 73, episode reward -21.0, episode length 1017
Time 00h 03m 44s, num steps 16988, FPS 76, episode reward -20.0, episode length 1297
Time 00h 04m 11s, num steps 18906, FPS 75, episode reward -19.0, episode length 1749
Time 00h 04m 36s, num steps 19336, FPS 70, episode reward -21.0, episode length 1338
Time 00h 04m 50s, num steps 22648, FPS 78, episode reward -21.0, episode length 1012
Time 00h 05m 14s, num steps 22836, FPS 73, episode reward -21.0, episode length 1347
Time 00h 05m 35s, num steps 23569, FPS 70, episode reward -21.0, episode length 1028
Time 00h 05m 54s, num steps 26523, FPS 75, episode reward -21.0, episode length 1091
Time 00h 06m 22s, num steps 27069, FPS 71, episode reward -20.0, episode length 1560
Time 00h 06m 40s, num steps 29842, FPS 74, episode reward -21.0, episode length 1034
